case_id,verdict,ipc_section,relevant_laws,case_fact,penalty_months,severity,ververdict,guilty_label,relevant_laws_list,ipc_label,penalty_scaled
47450b63-f629-4d5a-84b0-d2d14b91d511,Guilty,363,"363,354,498A","the accused raped the victim at the office after a public protest, causing public disturbance. digital evidence confirmed the act.",30,Low,,1,"['363', '354', '498A']",7,0.1
b7fb578a-b06a-4c40-9c7f-a7cd8ce6e17a,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
ecd7f27f-0955-4255-aeb2-e475dfece244,Not Guilty,NONE,,police could not recover any weapon or bank transaction logs supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
b025ff61-304e-4010-b507-60bda5470576,Guilty,302,"302,304B",victim's statement and cctv footage prove that the accused intentionally strangled the public servant.,187,High,,1,"['302', '304B']",1,0.6233333333333334
bb6d04e1-9c21-42b0-a0ad-aff5d3cc431c,Guilty,376,"376,406","the accused burned the bank officer at the home after a domestic argument, causing financial damage. bank transaction logs confirmed the act.",151,High,,1,"['376', '406']",8,0.5033333333333334
40d21765-5546-4667-b0fc-306ad61fdb38,Not Guilty,NONE,,the accused was present nearby but no forensic report linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
6d5c6f17-738c-422d-86c9-84090268623c,Guilty,326,326,"the accused strangled the wife at the factory after a family dispute, causing financial damage. digital evidence confirmed the act.",54,Medium,,1,['326'],4,0.18000000000000002
710aca56-226b-4f2a-97da-901e89a60945,Guilty,120B,"120B,354,506",investigation found recovered weapon and witnesses confirming that the accused threatened the bank officer leading to loss of life.,21,Low,,1,"['120B', '354', '506']",0,0.07
e097fbfd-db95-47fb-8722-86e68e9bdd6d,Guilty,420,"420,363",the accused planned and executed to raped the bank officer at restaurant for personal gain.,63,Medium,,1,"['420', '363']",11,0.21000000000000002
07364f26-ba47-4cd9-a032-b5b848a714bd,Guilty,326,326,victim's statement and eyewitness statements prove that the accused intentionally strangled the witness.,96,Medium,,1,['326'],4,0.32
e0e6cdb3-a495-4ddb-935d-203b0c5b7098,Guilty,304B,"304B,420","the accused hit the victim at the bus stop after a family dispute, causing property loss. bank transaction logs confirmed the act.",276,High,,1,"['304B', '420']",2,0.92
f868b3d4-a575-4b04-b360-68c07c25e2f8,Not Guilty,NONE,,witnesses gave contradictory statements and dna test was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
0864f970-d5c3-44d5-ac85-d0ca6e840357,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
848d27af-96c1-482b-9976-15f1e0fc7fd5,Not Guilty,NONE,,witnesses gave contradictory statements and dna test was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
26dc58bd-ef09-4ed8-b208-1df3c62c153a,Guilty,379,379,"during a family dispute, cctv footage captured the accused assaulted the public servant at public park.",12,Low,,1,['379'],9,0.04
6ce7b174-4c5c-40d0-9236-269087e61073,Guilty,506,"506,468,379","the accused poisoned the minor at the hotel after a robbery attempt, causing property loss. dna test confirmed the act.",102,Medium,,1,"['506', '468', '379']",14,0.34
c385dd29-cada-43c2-932a-ff142bb1fd40,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
4b494718-95ba-4c0a-a43a-986a419b7d0f,Guilty,120B,120B,investigation found forensic report and witnesses confirming that the accused stabbed the neighbour leading to death.,30,Low,,1,['120B'],0,0.1
77186349-6f36-4a2c-b846-78698b4b7131,Not Guilty,NONE,,police could not recover any weapon or bank transaction logs supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
bee71ba7-049c-431a-b93b-0568744f4adb,Guilty,498A,498A,victim's statement and forensic report prove that the accused intentionally abducted the customer.,41,Medium,,1,['498A'],13,0.1366666666666667
8f9d9fdb-29ed-487c-95c0-b0bfd94587df,Guilty,354,"354,302,341",investigation found medical certificate and witnesses confirming that the accused threatened the woman leading to death.,18,Low,,1,"['354', '302', '341']",6,0.060000000000000005
97574063-c2de-491c-a912-bcec31b0810f,Guilty,363,"363,468","during a political rally, eyewitness statements captured the accused poisoned the bank officer at hotel.",8,Low,,1,"['363', '468']",7,0.02666666666666667
3dbfed94-39f1-42bf-b9ba-805680d8d0d5,Guilty,120B,"120B,341","the accused burned the woman at the restaurant after a political rally, causing serious injury. medical certificate confirmed the act.",27,Low,,1,"['120B', '341']",0,0.09000000000000001
86655604-2081-4e5d-9435-f22e60e813ba,Guilty,406,406,"during a quarrel, digital evidence captured the accused raped the police officer at market.",114,Medium,,1,['406'],10,0.38
1fb85014-0443-4b17-b273-910f4a7ead9f,Not Guilty,NONE,,the accused was present nearby but no digital evidence linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
4702b5c6-54be-4e33-9602-9703a0103ba7,Guilty,302,"302,354",the accused planned and executed to strangled the public servant at hotel for personal gain.,141,High,,1,"['302', '354']",1,0.47000000000000003
fa067860-951a-4237-b284-f78b99e11d25,Not Guilty,NONE,,the accused was present nearby but no forensic report linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
e94fc9a8-e955-4db0-9a73-6b991af34525,Not Guilty,NONE,,the accused provided a verified alibi; no cctv footage matched them.,0,Low,Not Guilty,0,[],15,0.0
37f77d8e-dd8b-40af-96f4-8b2a2e0f06d0,Not Guilty,NONE,,witnesses gave contradictory statements and medical certificate was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
ff369c19-e1ac-4ffc-9078-361336d59e3e,Not Guilty,NONE,,witnesses gave contradictory statements and medical certificate was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
92d4c1e4-eb6f-400d-ad41-a8a19849636d,Guilty,307,307,the accused planned and executed to hit the bank officer at hotel for personal gain.,183,High,,1,['307'],3,0.61
28877161-b1af-4232-ab2d-47a3c57e09d7,Not Guilty,NONE,,the accused was present nearby but no digital evidence linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
933a8130-f284-4950-8073-511d591e8185,Guilty,354,"354,498A","fir and forensic report show the accused forged the neighbour during a quarrel, resulting in mental trauma.",6,Low,,1,"['354', '498A']",6,0.02
89700f21-0c14-4d9f-bfca-774548d14109,Guilty,498A,"498A,120B,304B",investigation found digital evidence and witnesses confirming that the accused hit the public servant leading to death.,91,Medium,,1,"['498A', '120B', '304B']",13,0.30333333333333334
a99090af-1286-49b6-91b6-306a4931464d,Not Guilty,NONE,,the accused provided a verified alibi; no eyewitness statements matched them.,0,Low,Not Guilty,0,[],15,0.0
2edcfc61-dbfe-4c4b-9355-a9f6ba360f2e,Not Guilty,NONE,,the accused was present nearby but no digital evidence linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
6dffece3-a93b-479e-8081-e43a73b603c6,Guilty,468,468,"the accused assaulted the customer at the office after a quarrel, causing loss of life. dna test confirmed the act.",51,Medium,,1,['468'],12,0.17
ddad66c2-a0a3-496d-bb96-6da041676b4e,Guilty,354,"354,341,379",investigation found digital evidence and witnesses confirming that the accused poisoned the business partner leading to loss of life.,17,Low,,1,"['354', '341', '379']",6,0.05666666666666667
4523b4cb-7868-4bdc-8838-0e234a6f87fc,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
a2e73679-323b-43b1-9cae-9d04b581b25d,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
1602e3cb-5e7e-445f-90f6-46523645e662,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
a460f3d8-3d2b-4f0d-88ec-c6587cf6cde0,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
cf442a2b-f4a8-4fab-8cea-ae1d46107714,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
9bf1abcd-cdfa-42f9-a8c6-930f19ce38bc,Guilty,307,"307,506,304B","fir and forensic report show the accused raped the witness during a political rally, resulting in death.",198,High,,1,"['307', '506', '304B']",3,0.66
35ac0472-675e-494d-a805-8b1493104051,Guilty,354,"354,326,302",investigation found digital evidence and witnesses confirming that the accused forged the minor leading to death.,29,Low,,1,"['354', '326', '302']",6,0.09666666666666668
e97f01fd-2757-4dfc-bfdf-69ca145cf2ee,Guilty,498A,"498A,506,420",the accused planned and executed to strangled the witness at train station for personal gain.,72,Medium,,1,"['498A', '506', '420']",13,0.24000000000000002
64ef58fe-fa49-4539-8a62-18282b6808aa,Not Guilty,NONE,,witnesses gave contradictory statements and forensic report was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
8a512377-14e0-450e-9083-219ee3eaab55,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
257afe48-9eb9-4192-811a-99944e69eb2a,Not Guilty,NONE,,the accused was present nearby but no medical certificate linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
a0f8bd09-41c6-48a4-bbb2-4f83d9a69bc3,Guilty,326,"326,498A,302",victim's statement and medical certificate prove that the accused intentionally burned the bank officer.,105,Medium,,1,"['326', '498A', '302']",4,0.35000000000000003
2712f1a1-c612-4f31-8cf4-341aa882e0ac,Not Guilty,NONE,,police could not recover any weapon or medical certificate supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
d7fd9d71-036b-494c-9383-c87b730dbe68,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
89ef11f0-21e8-4a3d-bb42-a9e86a0e222f,Not Guilty,NONE,,the accused provided a verified alibi; no digital evidence matched them.,0,Low,Not Guilty,0,[],15,0.0
95f793aa-fa89-4127-a796-f74fadddd240,Not Guilty,NONE,,police could not recover any weapon or cctv footage supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
90f70206-0843-460c-a481-349eece59714,Guilty,376,"376,420","during a family dispute, medical certificate captured the accused extorted the public servant at hotel.",285,High,,1,"['376', '420']",8,0.9500000000000001
cd158be6-4f42-4b49-98ec-96f0ac2238d6,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
a7e82cde-7edb-4e49-87e5-c7d3576b8a61,Not Guilty,NONE,,witnesses gave contradictory statements and dna test was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
1d16425f-4548-42d5-9aa8-9b24e3411b94,Guilty,420,"420,506,363",victim's statement and digital evidence prove that the accused intentionally shot the minor.,38,Medium,,1,"['420', '506', '363']",11,0.12666666666666668
49fa0b88-092b-44b0-b653-b7cf115c76bc,Not Guilty,NONE,,witnesses gave contradictory statements and dna test was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
701344d9-a472-4c2e-8063-2a6c378230cf,Guilty,363,363,"fir and forensic report show the accused stole the employee during a business deal, resulting in death.",10,Low,,1,['363'],7,0.03333333333333333
e8056d0b-7481-4121-9cd5-5e9ec5292263,Not Guilty,NONE,,the accused was present nearby but no medical certificate linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
68684590-3614-4732-8702-1ad116d998d9,Not Guilty,NONE,,police could not recover any weapon or bank transaction logs supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
c29249a6-f35e-4b2e-b96b-49059f7fa5d1,Guilty,363,363,"fir and forensic report show the accused poisoned the employee during a family dispute, resulting in financial damage.",14,Low,,1,['363'],7,0.04666666666666667
96f90681-8b16-4292-bd47-c5576d693e99,Not Guilty,NONE,,witnesses gave contradictory statements and dna test was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
d7f2c1e8-11e3-4f09-8c9b-b507fe1ba341,Guilty,498A,498A,"during a domestic argument, medical certificate captured the accused abducted the woman at roadside.",87,Medium,,1,['498A'],13,0.29000000000000004
730c7316-ee0e-4995-ae02-fc1dd5c17b8d,Not Guilty,NONE,,police could not recover any weapon or medical certificate supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
c0a8e1a0-e5ac-45fd-95d1-b1af1654bf99,Not Guilty,NONE,,police could not recover any weapon or digital evidence supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
2958b62b-2e9f-4337-9ddf-459af658b0b3,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
07a8a769-eaae-4edb-9caf-8b346c6a4c02,Guilty,506,"506,341,406","during a domestic argument, recovered weapon captured the accused threatened the police officer at public park.",78,Medium,,1,"['506', '341', '406']",14,0.26
f4fb8c9f-3899-4d77-9517-f3ff0b08a39a,Guilty,304B,"304B,341,498A",the accused planned and executed to poisoned the minor at restaurant for personal gain.,232,High,,1,"['304B', '341', '498A']",2,0.7733333333333334
da6da30d-fd59-4d62-9dcf-2c9dd9dd73f9,Not Guilty,NONE,,the accused was present nearby but no dna test linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
97b7b90f-6b38-45a2-9dc6-8762d8b27e02,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
600d3c2c-3e5a-4c61-9617-2bec021f1759,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
0fbb92f3-6fbe-4c43-8eab-33d681ccf2e9,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
f97484d2-267b-4917-aa6f-b90d72de7a98,Guilty,506,506,victim's statement and bank transaction logs prove that the accused intentionally assaulted the witness.,55,Medium,,1,['506'],14,0.18333333333333335
b9aabeda-10fa-4e77-81a6-5454a5d3545d,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
fd78a29a-4abf-47ea-b6ee-fee961641b5e,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
507171dd-3f94-4b46-b2ae-515a867e72b8,Guilty,506,"506,468,406",the accused planned and executed to forged the bank officer at office for personal gain.,87,Medium,,1,"['506', '468', '406']",14,0.29000000000000004
b99d89ac-6c56-42e6-bd8f-a2eeee5dd6b0,Not Guilty,NONE,,police could not recover any weapon or medical certificate supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
ebbb9bc7-7130-4115-b96e-2ff3d8a32cab,Guilty,506,"506,379","the accused burned the business partner at the factory after a quarrel, causing serious injury. bank transaction logs confirmed the act.",37,Medium,,1,"['506', '379']",14,0.12333333333333334
62f6915a-505f-4af2-80a2-7e8695aa8379,Guilty,326,326,"fir and forensic report show the accused cheated the business partner during a quarrel, resulting in financial damage.",116,Medium,,1,['326'],4,0.3866666666666667
39b9c1a5-f441-4260-a507-2e1d006ca3cd,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
54f8c2a5-2b5f-469b-88d1-1d24118c04cc,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
a4afcf51-b4f1-49f0-8902-8e8bdaf2be68,Guilty,363,"363,379,341","the accused harassed the employee at the market after a quarrel, causing loss of life. digital evidence confirmed the act.",18,Low,,1,"['363', '379', '341']",7,0.060000000000000005
8f6c2344-c133-4d0e-b8fc-f929562848b9,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
3c84b8e7-6387-403c-9e3f-3da4c5249431,Not Guilty,NONE,,police could not recover any weapon or digital evidence supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
84c51f85-f3e7-44c9-8f6e-9ecded875b90,Not Guilty,NONE,,police could not recover any weapon or forensic report supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
b181dfd2-2637-46d7-811a-277bfb8f10b4,Guilty,468,468,the accused planned and executed to burned the witness at restaurant for personal gain.,95,Medium,,1,['468'],12,0.3166666666666667
349a2313-fcd4-46cd-a22a-9a561da75a49,Guilty,326,326,the accused planned and executed to extorted the woman at office for personal gain.,116,Medium,,1,['326'],4,0.3866666666666667
40708689-f0cc-4069-9271-0e4b2e5337c6,Guilty,307,307,victim's statement and bank transaction logs prove that the accused intentionally cheated the employee.,139,High,,1,['307'],3,0.4633333333333334
519070fe-eaac-4873-bcbf-5c8cf0ca0983,Guilty,376,376,"fir and forensic report show the accused burned the customer during a domestic argument, resulting in public disturbance.",276,High,,1,['376'],8,0.92
db23400a-1d36-4c62-b954-502fc72c6d15,Not Guilty,NONE,,the accused provided a verified alibi; no bank transaction logs matched them.,0,Low,Not Guilty,0,[],15,0.0
638a1923-dfe4-4fed-beea-121a685d0760,Not Guilty,NONE,,the accused was present nearby but no eyewitness statements linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
d48e4455-f668-4627-a255-0103ee306fd0,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
2cb435ce-186a-486f-912b-770402b05391,Guilty,420,"420,120B",the accused planned and executed to raped the bank officer at public park for personal gain.,96,Medium,,1,"['420', '120B']",11,0.32
3d7cd543-712e-4c4e-9cdc-d653bb0c3dd2,Not Guilty,NONE,,witnesses gave contradictory statements and forensic report was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
c172f9ef-1198-4ba6-9e3c-44b6280fd03e,Not Guilty,NONE,,police could not recover any weapon or medical certificate supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
9e73a9a9-c778-49cf-bd50-14b56477e4ba,Guilty,363,"363,354",the accused planned and executed to cheated the woman at train station for personal gain.,32,Low,,1,"['363', '354']",7,0.10666666666666667
aed925bd-8a36-4349-91dd-51fee8c8ecf8,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
c3eff5fb-18e6-4946-bb85-f9223f638b80,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
46ae00bc-c8df-4adc-a191-611889c75f4f,Guilty,506,"506,302,341","fir and forensic report show the accused stabbed the wife during a business deal, resulting in death.",57,Medium,,1,"['506', '302', '341']",14,0.19
866fb1d4-9c29-49a1-a0e9-a39ffd93c085,Not Guilty,NONE,,available evidence was circumstantial and insufficient to prove guilt beyond reasonable doubt.,0,Low,Not Guilty,0,[],15,0.0
c95765ed-e25d-40f3-8827-7f7a032f2858,Not Guilty,NONE,,the accused provided a verified alibi; no bank transaction logs matched them.,0,Low,Not Guilty,0,[],15,0.0
b2d50097-591d-469e-a106-3614172b0b49,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
4cb1a710-d379-48c1-a7e0-3ee7576b1ee8,Not Guilty,NONE,,investigation found no motive or forensic match to the accused.,0,Low,Not Guilty,0,[],15,0.0
3419dcad-4fed-4ec4-ba51-f2cfc1d0b22b,Guilty,354,"354,326","fir and forensic report show the accused strangled the wife during a business deal, resulting in loss of life.",17,Low,,1,"['354', '326']",6,0.05666666666666667
23d48bd7-5120-4b52-bc83-51776950327e,Guilty,498A,"498A,302,363","fir and forensic report show the accused stabbed the customer during a robbery attempt, resulting in death.",65,Medium,,1,"['498A', '302', '363']",13,0.21666666666666667
bee421c8-12c9-46e1-a586-c7ccd3803503,Guilty,406,"406,307",investigation found dna test and witnesses confirming that the accused burned the victim leading to death.,74,Medium,,1,"['406', '307']",10,0.24666666666666667
4a6c69d5-5153-46ea-8a02-dde7bece8185,Guilty,506,"506,341",the accused planned and executed to stole the minor at market for personal gain.,95,Medium,,1,"['506', '341']",14,0.3166666666666667
4f5a50fc-a476-4e01-a4f4-e16717012915,Guilty,326,"326,354","fir and forensic report show the accused threatened the witness during a public protest, resulting in serious injury.",59,Medium,,1,"['326', '354']",4,0.19666666666666668
92b5ec21-85e9-47ae-a50f-75a30e5af077,Guilty,302,"302,506,304B",investigation found forensic report and witnesses confirming that the accused extorted the victim leading to loss of life.,231,High,,1,"['302', '506', '304B']",1,0.77
cb361885-7365-497a-8ce2-6627460e1400,Not Guilty,NONE,,police could not recover any weapon or forensic report supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
fc4439d6-5c84-4723-89c5-e86483602899,Not Guilty,NONE,,police could not recover any weapon or recovered weapon supporting the charge.,0,Low,Not Guilty,0,[],15,0.0
f8f711ba-9e9a-4b74-b651-7972b79e9213,Guilty,420,"420,354,376","fir and forensic report show the accused raped the victim during a business deal, resulting in mental trauma.",103,Medium,,1,"['420', '354', '376']",11,0.3433333333333334
1f150d2b-e9bc-40f7-a3d3-6b4bac1caa76,Guilty,304B,"304B,468","fir and forensic report show the accused trespassed the wife during a domestic argument, resulting in public disturbance.",198,High,,1,"['304B', '468']",2,0.66
906d9e0f-2fa4-4de9-85ee-43da92f03584,Not Guilty,NONE,,the accused was present nearby but no bank transaction logs linked them to the crime.,0,Low,Not Guilty,0,[],15,0.0
729181f7-690d-44f8-8931-eada4a1ebeb2,Not Guilty,NONE,,the accused was mistaken for another person; identification was unreliable.,0,Low,Not Guilty,0,[],15,0.0
8b1d2cd2-43e5-4d76-ad2e-fd2e6ff87ace,Not Guilty,NONE,,witnesses gave contradictory statements and dna test was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
e48be4eb-fa26-498a-8191-fc67d9a1c412,Guilty,498A,"498A,376",the accused planned and executed to stole the employee at temple for personal gain.,43,Medium,,1,"['498A', '376']",13,0.14333333333333334
47810919-ce2f-446e-acc3-12e03f324a16,Not Guilty,NONE,,the accused provided a verified alibi; no cctv footage matched them.,0,Low,Not Guilty,0,[],15,0.0
1c0f36df-33e4-492e-a5dd-5457cf117179,Guilty,326,"326,506,376",victim's statement and eyewitness statements prove that the accused intentionally abducted the victim.,97,Medium,,1,"['326', '506', '376']",4,0.32333333333333336
c918f43d-93a5-4ff0-8c30-652dc14d3564,Guilty,307,307,"fir and forensic report show the accused forged the minor during a domestic argument, resulting in loss of life.",189,High,,1,['307'],3,0.63
a07b207d-0f6a-4b74-ad6f-8f6d6205d600,Guilty,379,"379,363,326","the accused poisoned the victim at the school after a family dispute, causing public disturbance. dna test confirmed the act.",6,Low,,1,"['379', '363', '326']",9,0.02
c1121349-5894-4b04-a771-92bc79bc4d99,Guilty,420,420,investigation found dna test and witnesses confirming that the accused threatened the public servant leading to financial damage.,109,Medium,,1,['420'],11,0.36333333333333334
7315ec39-8339-4f6d-a2c3-ebc71190ba26,Guilty,506,"506,304B,120B","during a family dispute, medical certificate captured the accused strangled the bank officer at factory.",54,Medium,,1,"['506', '304B', '120B']",14,0.18000000000000002
4f99024f-8e09-4630-ba28-b46dbf5e58aa,Not Guilty,NONE,,witnesses gave contradictory statements and digital evidence was inconclusive.,0,Low,Not Guilty,0,[],15,0.0
